wflName nbPart c CM m TM ModelTM
depl-azRwjW-3.xml 50000000 6300 14574 400 14974 15941
depl-azRwjW-3.xml 50000000 7200 15583 1222 16805 17374
depl-azRwjW-3.xml 50000000 9000 18332 1302 19634 17113
depl-azRwjW-3.xml 50000000 10800 21718 1071 22789 18529
depl-azRwjW-4.xml 50000000 1200 13953 10624 24577 21821
depl-azRwjW-4.xml 50000000 1500 13523 7658 21181 19072
depl-azRwjW-4.xml 50000000 1800 13452 3981 17433 15272
depl-azRwjW-4.xml 50000000 2100 13349 2854 16203 14274
depl-azRwjW-4.xml 50000000 2400 13701 906 14607 12840
depl-azRwjW-4.xml 50000000 2700 13878 1606 15484 13474
depl-azRwjW-4.xml 50000000 3600 14668 1395 16063 14461
depl-azRwjW-4.xml 50000000 4500 14554 1255 15809 15904
depl-azRwjW-4.xml 50000000 5400 16413 1394 17807 16236
depl-azRwjW-4.xml 50000000 6300 14611 411 15022 16048
depl-azRwjW-4.xml 50000000 7200 15689 1121 16810 17411
depl-azRwjW-4.xml 50000000 9000 18357 1183 19540 17080
depl-azRwjW-4.xml 50000000 10800 21739 845 22584 18387
depl-azRwjW-5.xml 50000000 1200 13398 12342 25740 22952
depl-azRwjW-5.xml 50000000 1500 12953 8905 21858 19715
depl-azRwjW-5.xml 50000000 1800 13137 5342 18479 16232
depl-azRwjW-5.xml 50000000 2100 13024 3825 16849 14789
depl-azRwjW-5.xml 50000000 2400 12977 2848 15825 14051
depl-azRwjW-5.xml 50000000 2700 13087 525 13612 11946
depl-azRwjW-5.xml 50000000 3600 13402 166 13568 12847
depl-azRwjW-5.xml 50000000 4500 14166 1898 16064 15691
depl-azRwjW-5.xml 50000000 5400 13951 112 14063 14578
depl-azRwjW-5.xml 50000000 6300 14415 687 15102 15887
depl-azRwjW-5.xml 50000000 7200 15417 1389 16806 16942
depl-azRwjW-5.xml 50000000 9000 18310 1799 20109 17413
depl-azRwjW-5.xml 50000000 10800 14005 120 14125 17340
depl-nakbK9-1.xml 50000000 1200 17538 9749 27287 24642
depl-nakbK9-1.xml 50000000 1500 17275 6228 23503 21294
depl-nakbK9-1.xml 50000000 1800 17280 3646 20926 18843
depl-nakbK9-1.xml 50000000 2100 17503 2285 19788 17571
depl-nakbK9-1.xml 50000000 2400 17485 1620 19105 17070
depl-nakbK9-1.xml 50000000 2700 17657 1146 18803 16798
depl-nakbK9-1.xml 50000000 3600 18163 313 18476 16644
depl-nakbK9-1.xml 50000000 4500 18641 1127 19768 19613
depl-nakbK9-1.xml 50000000 5400 18886 109 18995 19219
depl-nakbK9-1.xml 50000000 6300 19301 163 19464 19100
depl-nakbK9-1.xml 50000000 7200 19800 183 19983 20135
depl-nakbK9-1.xml 50000000 9000 21156 70 21226 21229
depl-nakbK9-1.xml 50000000 10800 22731 187 22918 21748
depl-nakbK9-2.xml 50000000 1200 16874 9608 26482 24003
depl-nakbK9-2.xml 50000000 1500 16710 6192 22902 20865
depl-nakbK9-2.xml 50000000 1800 16650 3744 20394 18487
depl-nakbK9-2.xml 50000000 2100 16787 2163 18950 17005
depl-nakbK9-2.xml 50000000 2400 16989 1563 18552 16646
depl-nakbK9-2.xml 50000000 2700 16794 871 17665 15969
depl-nakbK9-2.xml 50000000 3600 17058 152 17210 15989
depl-nakbK9-2.xml 50000000 4500 18272 704 18976 18569
depl-nakbK9-2.xml 50000000 5400 17965 487 18452 18692
depl-nakbK9-2.xml 50000000 6300 18531 195 18726 18675
depl-nakbK9-2.xml 50000000 7200 19303 160 19463 19651
depl-nakbK9-2.xml 50000000 9000 20458 185 20643 20633
depl-nakbK9-2.xml 50000000 10800 22073 299 22372 20804
depl-nakbK9-4.xml 50000000 1500 16090 5615 21705 19881
depl-nakbK9-4.xml 50000000 1800 16172 3514 19686 17893
depl-nakbK9-4.xml 50000000 2100 16207 2410 18617 16901
depl-nakbK9-4.xml 50000000 2400 16480 1326 17806 16022
depl-nakbK9-4.xml 50000000 2700 16399 2807 19206 17612
depl-nakbK9-4.xml 50000000 3600 16580 371 16951 15845
depl-nakbK9-4.xml 50000000 4500 17983 738 18721 18209
depl-nakbK9-4.xml 50000000 5400 17610 220 17830 17874
depl-nakbK9-4.xml 50000000 6300 18223 97 18320 18213
depl-nakbK9-4.xml 50000000 7200 18967 298 19265 19355
depl-nakbK9-4.xml 50000000 9000 20072 148 20220 20074
depl-nakbK9-4.xml 50000000 10800 21865 163 22028 20064
depl-nakbK9-5.xml 50000000 1500 17726 8002 25728 23391
depl-nakbK9-5.xml 50000000 2100 17883 2954 20837 18543
depl-nakbK9-5.xml 50000000 2400 17799 1786 19585 17544
depl-nakbK9-5.xml 50000000 2700 18018 1275 19293 17219
depl-nakbK9-5.xml 50000000 3600 18498 1201 19699 17855
depl-nakbK9-5.xml 50000000 4500 18886 1055 19941 19869
depl-nakbK9-5.xml 50000000 5400 19364 151 19515 19551
depl-nakbK9-5.xml 50000000 6300 19663 363 20026 19761
depl-nakbK9-5.xml 50000000 7200 20032 144 20176 20323
depl-nakbK9-5.xml 50000000 9000 21582 207 21789 21725
depl-nakbK9-5.xml 50000000 10800 22972 511 23483 22515
depl-nakbK9-6.xml 50000000 1200 16829 10780 27609 24958
depl-nakbK9-6.xml 50000000 1500 16541 7178 23719 21606
depl-nakbK9-6.xml 50000000 1800 16550 4500 21050 19011
depl-nakbK9-6.xml 50000000 2100 16524 2773 19297 17363
depl-nakbK9-6.xml 50000000 2400 16838 1943 18781 16766
depl-nakbK9-6.xml 50000000 2700 16703 1172 17875 16088
depl-nakbK9-6.xml 50000000 3600 16796 581 17377 16213
depl-nakbK9-6.xml 50000000 4500 18187 1078 19265 18822
depl-nakbK9-6.xml 50000000 5400 17888 580 18468 18541
depl-nakbK9-6.xml 50000000 6300 18434 334 18768 18713
depl-nakbK9-6.xml 50000000 7200 19206 338 19544 19678
depl-nakbK9-6.xml 50000000 9000 20398 184 20582 20385
depl-nakbK9-6.xml 50000000 10800 22008 332 22340 20552
depl-8UsRp4-1.xml 50000000 1200 14702 11355 26057 23787
depl-8UsRp4-1.xml 50000000 1500 14218 8123 22341 20707
depl-8UsRp4-1.xml 50000000 1800 14271 5452 19723 18182
depl-8UsRp4-1.xml 50000000 2100 14273 3666 17939 16634
depl-8UsRp4-1.xml 50000000 2400 14794 2152 16946 15147
depl-8UsRp4-1.xml 50000000 2700 14657 1288 15945 14653
depl-8UsRp4-1.xml 50000000 3600 15235 1352 16587 15129
depl-8UsRp4-1.xml 50000000 4500 14821 1034 15855 15130
depl-8UsRp4-1.xml 50000000 5400 16713 1324 18037 16047
depl-8UsRp4-1.xml 50000000 6300 15413 127 15540 15461
depl-8UsRp4-1.xml 50000000 7200 15902 626 16528 17403
depl-8UsRp4-1.xml 50000000 9000 18893 1224 20117 20310
depl-8UsRp4-1.xml 50000000 10800 21802 1424 23226 19605
depl-8UsRp4-2.xml 50000000 1200 15184 12872 28056 25737
depl-8UsRp4-2.xml 50000000 1500 14689 8719 23408 21780
depl-8UsRp4-2.xml 50000000 1800 14469 5844 20313 18828
depl-8UsRp4-2.xml 50000000 2100 14479 4038 18517 17267
depl-8UsRp4-2.xml 50000000 2700 14868 1180 16048 14819
depl-8UsRp4-2.xml 50000000 4500 14961 906 15867 15230
depl-8UsRp4-2.xml 50000000 5400 16829 1285 18114 16449
depl-8UsRp4-2.xml 50000000 6300 15866 59 15925 15634
depl-8UsRp4-2.xml 50000000 7200 16950 353 17303 17903
depl-8UsRp4-2.xml 50000000 9000 18950 1289 20239 20679
depl-8UsRp4-2.xml 50000000 10800 21934 1748 23682 20552
depl-8UsRp4-3.xml 50000000 1200 15693 13457 29150 26562
depl-8UsRp4-3.xml 50000000 1500 15164 9884 25048 23211
depl-8UsRp4-3.xml 50000000 1800 15100 6739 21839 20118
depl-8UsRp4-3.xml 50000000 2100 15131 4625 19756 18149
depl-8UsRp4-3.xml 50000000 2400 15448 2874 18322 16626
depl-8UsRp4-3.xml 50000000 2700 15092 1152 16244 14936
depl-8UsRp4-3.xml 50000000 3600 15630 1088 16718 15423
depl-8UsRp4-3.xml 50000000 4500 15333 732 16065 15395
depl-8UsRp4-3.xml 50000000 5400 17057 1445 18502 17050
depl-8UsRp4-3.xml 50000000 6300 16408 122 16530 15797
depl-8UsRp4-3.xml 50000000 7200 16945 209 17154 18079
depl-8UsRp4-3.xml 50000000 9000 19057 1276 20333 21056
depl-8UsRp4-3.xml 50000000 10800 22062 1562 23624 21441
depl-8UsRp4-4.xml 50000000 1200 15433 12567 28000 25570
depl-8UsRp4-4.xml 50000000 1500 14939 8063 23002 21276
depl-8UsRp4-4.xml 50000000 1800 14742 5962 20704 19093
depl-8UsRp4-4.xml 50000000 2100 14616 4171 18787 17518
depl-8UsRp4-4.xml 50000000 2700 14972 1098 16070 14798
depl-8UsRp4-4.xml 50000000 3600 15544 1152 16696 15396
depl-8UsRp4-4.xml 50000000 4500 15086 795 15881 15229
depl-8UsRp4-4.xml 50000000 5400 16935 1412 18347 16789
